x_pv_1,x_pv_2,epsilon,pm_theo,pm_empirical,sw_theo,sw_empirical,krr_theo,krr_empirical,exp_theo,exp_empirical,laplace_theo,laplace_empirical,gaussian_theo,gaussian_empirical
0.34,0.13,6,0.971309,0.973,0.905643,0.931,0.889411,0.924,0.886527,0.889,0.641018,0.633,0.183046,0.252
0.34,0.13,7,0.982554,0.986,0.918744,0.945,0.952832,0.970,0.910878,0.916,0.701352,0.706,0.222156,0.271
0.34,0.13,8,0.989402,0.994,0.928694,0.948,0.981569,0.985,0.929337,0.935,0.750265,0.753,0.259661,0.314
0.25,0.95,1,0.765772,0.767,0.755923,0.735,0.620261,0.601,0.702214,0.686,0.087386,0.146,0.011688,0.044
0.25,0.95,2,0.854797,0.853,0.829515,0.835,0.636778,0.615,0.776842,0.762,0.214961,0.274,0.040034,0.089
0.25,0.95,3,0.906565,0.909,0.867822,0.870,0.675184,0.668,0.836286,0.822,0.320595,0.364,0.076689,0.129
0.25,0.95,4,0.934288,0.944,0.905804,0.900,0.747701,0.721,0.881596,0.874,0.401874,0.433,0.115896,0.175
0.25,0.95,5,0.968485,0.968,0.923748,0.917,0.842990,0.832,0.915073,0.903,0.465083,0.494,0.154210,0.207
0.25,0.95,6,0.980884,0.980,0.936180,0.930,0.922528,0.920,0.939303,0.933,0.515593,0.534,0.189901,0.233
0.25,0.95,7,0.988405,0.988,0.945208,0.937,0.967408,0.967,0.956622,0.949,0.557009,0.562,0.222337,0.267
0.25,0.95,8,0.992967,0.994,0.952028,0.954,0.987341,0.987,0.968918,0.961,0.591699,0.607,0.251508,0.287
0.35,0.33,1,0.757215,0.857,0.747711,0.847,0.629621,0.756,0.708741,0.813,0.105290,0.196,0.011858,0.056
0.35,0.33,2,0.848732,0.913,0.823503,0.889,0.644097,0.773,0.781038,0.867,0.294123,0.383,0.041955,0.117
0.35,0.33,3,0.906775,0.955,0.869021,0.922,0.678339,0.794,0.839547,0.911,0.474739,0.540,0.084010,0.171
0.35,0.33,4,0.942913,0.965,0.897712,0.937,0.745209,0.848,0.884854,0.931,0.621055,0.665,0.133538,0.224
0.35,0.33,5,0.965176,0.979,0.916780,0.953,0.837431,0.894,0.918710,0.955,0.731304,0.763,0.187276,0.281
0.35,0.33,6,0.978804,0.988,0.930107,0.967,0.918149,0.956,0.943311,0.965,0.811331,0.833,0.242839,0.339
